"totInt","cellArea","cellnum","bkgrdInt","frame","cond","time","strain"
452577,156,3,1590.1531,4,"infected",120,"LZ22221"
1356828,303,4,1590.1531,4,"infected",120,"LZ22221"
3274561,201,5,1590.1531,4,"infected",120,"LZ22221"
4656991,223,6,1590.1531,4,"infected",120,"LZ22221"
2036491,372,7,1590.1531,4,"infected",120,"LZ22221"
3324041,163,8,1590.1531,4,"infected",120,"LZ22221"
2486564,143,9,1590.1531,4,"infected",120,"LZ22221"
1854182,138,1,1615.6076,5,"infected",120,"LZ22221"
1030754,72,2,1615.6076,5,"infected",120,"LZ22221"
562373,136,3,1615.6076,5,"infected",120,"LZ22221"
720643,310,4,1615.6076,5,"infected",120,"LZ22221"
245217,121,5,1615.6076,5,"infected",120,"LZ22221"
658445,354,1,1579.2187,6,"infected",120,"LZ22221"
1004985,305,2,1579.2187,6,"infected",120,"LZ22221"
3530313,285,3,1579.2187,6,"infected",120,"LZ22221"
1506048,399,4,1579.2187,6,"infected",120,"LZ22221"
1399500,237,2,1706.1036,1,"infected",180,"LZ22221"
1146780,191,3,1706.1036,1,"infected",180,"LZ22221"
257407,138,4,1706.1036,1,"infected",180,"LZ22221"
286143,158,1,1999.4366,2,"infected",180,"LZ22221"
305570,158,2,1999.4366,2,"infected",180,"LZ22221"
4635987,399,3,1999.4366,2,"infected",180,"LZ22221"
2213175,395,4,1999.4366,2,"infected",180,"LZ22221"
1618912,603,5,1999.4366,2,"infected",180,"LZ22221"
6927935,372,6,1999.4366,2,"infected",180,"LZ22221"
2370537,219,7,1999.4366,2,"infected",180,"LZ22221"
764606,315,8,1999.4366,2,"infected",180,"LZ22221"
5332818,345,9,1999.4366,2,"infected",180,"LZ22221"
1455921,187,10,1999.4366,2,"infected",180,"LZ22221"
3835565,275,11,1999.4366,2,"infected",180,"LZ22221"
3117652,222,12,1999.4366,2,"infected",180,"LZ22221"
3749530,218,13,1999.4366,2,"infected",180,"LZ22221"
652132,289,14,1999.4366,2,"infected",180,"LZ22221"
3097448,252,15,1999.4366,2,"infected",180,"LZ22221"
3751625,273,16,1999.4366,2,"infected",180,"LZ22221"
8499579,394,17,1999.4366,2,"infected",180,"LZ22221"
3141330,179,18,1999.4366,2,"infected",180,"LZ22221"
2717606,232,1,1659.1058,3,"infected",180,"LZ22221"
5933417,475,2,1659.1058,3,"infected",180,"LZ22221"
8834812,494,3,1659.1058,3,"infected",180,"LZ22221"
2763397,138,4,1659.1058,3,"infected",180,"LZ22221"
3031358,244,1,1661.1825,4,"infected",180,"LZ22221"
2277497,174,2,1661.1825,4,"infected",180,"LZ22221"
9288553,599,3,1661.1825,4,"infected",180,"LZ22221"
2882731,270,4,1661.1825,4,"infected",180,"LZ22221"
3304045,364,5,1661.1825,4,"infected",180,"LZ22221"
2372331,221,6,1661.1825,4,"infected",180,"LZ22221"
9045873,530,7,1661.1825,4,"infected",180,"LZ22221"
377126,215,8,1661.1825,4,"infected",180,"LZ22221"
296837,171,9,1661.1825,4,"infected",180,"LZ22221"
627683,333,10,1661.1825,4,"infected",180,"LZ22221"
1872435,214,11,1661.1825,4,"infected",180,"LZ22221"
3896332,153,12,1661.1825,4,"infected",180,"LZ22221"
713434,175,13,1661.1825,4,"infected",180,"LZ22221"
398181,175,1,1595.7716,5,"infected",180,"LZ22221"
5970083,377,2,1595.7716,5,"infected",180,"LZ22221"
3763743,214,3,1595.7716,5,"infected",180,"LZ22221"
2763161,211,4,1595.7716,5,"infected",180,"LZ22221"
3195826,194,5,1595.7716,5,"infected",180,"LZ22221"
4145628,238,6,1595.7716,5,"infected",180,"LZ22221"
2143910,201,7,1595.7716,5,"infected",180,"LZ22221"
9116515,559,8,1595.7716,5,"infected",180,"LZ22221"
2983944,135,9,1595.7716,5,"infected",180,"LZ22221"
2929908,149,10,1595.7716,5,"infected",180,"LZ22221"
5633686,408,1,1707.1643,6,"infected",180,"LZ22221"
811679,462,2,1707.1643,6,"infected",180,"LZ22221"
984115,521,3,1707.1643,6,"infected",180,"LZ22221"
8836145,449,4,1707.1643,6,"infected",180,"LZ22221"
821169,181,5,1707.1643,6,"infected",180,"LZ22221"
746502,407,1,1701.5998,7,"infected",180,"LZ22221"
5740764,320,2,1701.5998,7,"infected",180,"LZ22221"
6768526,345,3,1701.5998,7,"infected",180,"LZ22221"
2666324,279,4,1701.5998,7,"infected",180,"LZ22221"
2279137,97,5,1701.5998,7,"infected",180,"LZ22221"
4601237,190,6,1701.5998,7,"infected",180,"LZ22221"
3271779,196,7,1701.5998,7,"infected",180,"LZ22221"
2994875,266,1,1699.2981,8,"infected",180,"LZ22221"
6092309,273,2,1699.2981,8,"infected",180,"LZ22221"
2882220,270,3,1699.2981,8,"infected",180,"LZ22221"
923497,426,4,1699.2981,8,"infected",180,"LZ22221"
