 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,22.016,7711.426,705.559,5678,10295,2.027,46.933,4.800,4.587
2,22.016,7870.097,747.782,5742,10828,9.600,46.720,4.800,4.587
3,22.016,7837.652,714.014,5639,10470,9.493,40.320,4.800,4.587
4,22.016,7823.366,758.087,5339,10918,2.347,39.787,4.800,4.587
5,22.016,7892.662,730.102,5482,10647,2.240,33.600,4.800,4.587
6,22.016,7926.238,746.334,5671,11046,10.560,33.600,4.800,4.587
7,22.016,8068.285,751.528,5616,10471,1.707,2.773,4.800,4.587
8,37.990,8112.855,728.788,5702,11199,9.067,2.453,6.720,5.653
9,37.990,8059.571,734.465,5726,11092,2.347,10.133,6.720,5.653
10,37.990,8055.549,742.842,5922,10816,45.973,26.987,6.720,5.653
