 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,20.753,3603.305,305.190,2725,4764,2.773,47.253,6.080,3.413
2,20.753,3642.579,312.390,2716,4735,2.773,41.387,6.080,3.413
3,20.753,3659.992,307.582,2763,5413,2.240,35.627,6.080,3.413
4,20.753,3671.090,313.920,2669,4741,2.240,29.760,6.080,3.413
5,20.753,3697.035,321.293,2689,4827,1.813,22.933,6.080,3.413
6,20.753,3717.558,309.003,2809,5030,11.093,22.293,6.080,3.413
7,20.753,3679.337,315.982,2501,4651,11.627,29.227,6.080,3.413
8,20.753,3686.799,316.465,2700,4754,14.933,40.320,6.080,3.413
9,20.753,3755.503,318.742,2867,4838,34.560,9.067,6.080,3.413
10,33.041,3759.320,322.038,2661,4975,38.827,11.200,9.387,3.520
