 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,10.194,3544.741,309.971,2428,4657,39.680,15.253,2.987,3.413
2,10.194,3590.575,296.235,2653,4574,45.547,15.253,2.987,3.413
3,10.194,3585.352,296.699,2780,4574,40.320,19.307,2.987,3.413
4,10.194,3545.415,289.697,2728,4602,45.333,19.947,2.987,3.413
5,10.194,3510.780,299.223,2512,4518,36.053,40.533,2.987,3.413
6,10.194,3496.863,292.117,2468,4344,9.067,48.000,2.987,3.413
7,10.194,3486.147,284.069,2693,4393,3.520,42.560,2.987,3.413
8,10.194,3554.984,298.216,2665,4482,7.147,14.293,2.987,3.413
9,10.194,3587.922,314.143,2820,4750,15.573,14.293,2.987,3.413
10,10.194,3563.544,294.227,2560,4513,47.680,4.800,2.987,3.413
