 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,33.041,3502.856,294.146,2574,4599,29.973,47.787,9.387,3.520
2,33.041,3585.704,303.078,2406,4730,2.987,32.107,9.387,3.520
3,33.041,3572.940,312.419,2436,4686,2.347,23.680,9.387,3.520
4,33.041,3636.349,303.320,2619,4921,42.880,2.453,9.387,3.520
5,33.041,3638.697,302.568,2674,4804,43.520,10.027,9.387,3.520
6,33.041,3613.825,301.478,2569,4713,43.840,16.320,9.387,3.520
7,33.041,3595.854,303.621,2709,4939,43.947,23.253,9.387,3.520
8,33.041,3528.079,293.709,2606,4564,32.533,28.160,9.387,3.520
9,33.041,3631.519,309.365,2691,4697,30.827,0.960,9.387,3.520
10,33.041,3621.629,305.462,2709,4794,30.933,7.467,9.387,3.520
