 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,33.041,3688.562,318.570,2677,4724,1.813,49.707,9.387,3.520
2,33.041,3702.962,308.145,2728,4847,1.707,43.307,9.387,3.520
3,33.041,3722.708,315.793,2611,4916,1.280,36.907,9.387,3.520
4,33.041,3734.405,315.414,2717,4814,1.493,30.827,9.387,3.520
5,33.041,3810.216,308.317,2754,4894,16.853,2.347,9.387,3.520
6,33.041,3783.939,309.067,2767,5212,16.747,7.573,9.387,3.520
7,33.041,3741.948,310.429,2773,5039,28.693,7.573,9.387,3.520
8,33.041,3798.809,310.315,2718,5003,29.120,1.280,9.387,3.520
9,33.041,3800.281,319.416,2625,5339,40.533,1.067,9.387,3.520
10,33.041,3719.738,315.962,2578,4810,36.480,43.093,9.387,3.520
