 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,33.041,3755.524,314.374,2694,5113,40.960,4.053,9.387,3.520
2,33.041,3714.179,314.206,2653,4812,40.960,9.387,9.387,3.520
3,33.041,3721.611,314.881,2761,4883,41.280,15.893,9.387,3.520
4,33.041,3693.489,314.853,2729,5528,41.600,24.320,9.387,3.520
5,33.041,3684.195,318.301,2533,4801,41.600,29.120,9.387,3.520
6,33.041,3634.465,313.422,2593,4663,41.707,37.333,9.387,3.520
7,33.041,3627.041,311.630,2644,4842,41.813,45.013,9.387,3.520
8,33.041,3753.013,317.410,2667,5354,28.693,2.560,9.387,3.520
9,33.041,3758.629,316.929,2735,4976,29.227,9.813,9.387,3.520
10,33.041,3716.818,324.846,2420,5300,30.933,18.667,9.387,3.520
