 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,9.557,3695.590,309.457,2704,4591,48.747,46.720,2.987,3.200
2,9.557,3701.127,298.672,2901,4566,48.853,41.813,2.987,3.200
3,9.557,3688.075,290.666,2650,4752,48.853,35.307,2.987,3.200
4,9.557,3702.071,304.140,2781,4803,48.853,28.160,2.987,3.200
5,9.557,3767.413,313.432,2639,4765,48.853,21.227,2.987,3.200
6,9.557,3707.320,308.276,2830,4558,42.347,20.907,2.987,3.200
7,9.557,3704.271,294.665,2805,4691,42.667,27.093,2.987,3.200
8,9.557,3730.513,306.539,2634,4740,42.560,33.707,2.987,3.200
9,9.557,3701.112,299.469,2871,4816,42.347,41.813,2.987,3.200
10,9.557,3600.649,306.719,2700,5215,4.800,46.720,2.987,3.200
