 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,13.141,3406.225,312.193,2438,4785,1.387,49.600,3.733,3.520
2,13.141,3497.113,304.199,2581,4557,1.493,44.267,3.733,3.520
3,13.141,3509.121,300.432,2674,4882,8.427,43.627,3.733,3.520
4,13.141,3469.161,289.598,2571,4363,8.853,49.173,3.733,3.520
5,13.141,3487.896,296.822,2621,4508,14.933,48.747,3.733,3.520
6,13.141,3481.558,298.606,2587,4539,15.360,42.667,3.733,3.520
7,13.141,3537.022,299.325,2615,4676,21.653,42.347,3.733,3.520
8,13.141,3550.469,307.162,2603,4802,29.333,33.813,3.733,3.520
9,13.141,3566.113,304.459,2682,4757,23.040,22.187,3.733,3.520
10,13.141,3600.526,303.411,2737,4658,36.480,3.840,3.733,3.520
