 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,37.990,8502.413,767.133,5946,11288,8.320,42.667,6.720,5.653
2,37.990,8598.503,784.127,6070,11521,7.893,35.307,6.720,5.653
3,37.990,8548.827,756.829,5843,11946,17.387,33.707,6.720,5.653
4,37.990,8490.616,776.608,5939,12009,16.427,41.600,6.720,5.653
5,37.990,8531.179,757.293,6250,11367,29.440,37.760,6.720,5.653
6,37.990,8638.333,783.054,5879,12030,37.013,23.253,6.720,5.653
7,37.990,8604.107,775.401,6126,11682,28.907,22.187,6.720,5.653
8,37.990,8660.798,778.307,5783,11671,27.840,13.333,6.720,5.653
9,37.990,8498.709,764.800,6175,10954,35.307,39.893,6.720,5.653
10,37.990,8664.523,776.162,6011,12026,4.160,1.600,6.720,5.653
