 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,37.990,8245.621,739.396,5758,11125,45.973,26.987,6.720,5.653
2,37.990,8171.177,752.013,5391,11502,46.613,34.667,6.720,5.653
3,37.990,8103.547,740.343,5377,11154,47.253,43.307,6.720,5.653
4,37.990,7993.289,726.969,5438,10377,37.547,43.307,6.720,5.653
5,37.990,8059.010,739.301,5534,10854,37.227,35.947,6.720,5.653
6,37.990,8120.983,728.119,5643,11195,37.120,27.627,6.720,5.653
7,37.990,8057.959,742.746,5624,10855,28.480,27.200,6.720,5.653
8,37.990,8059.220,725.001,5926,10444,28.373,34.773,6.720,5.653
9,37.990,8031.075,736.464,5798,10830,27.947,46.080,6.720,5.653
10,37.990,8006.431,747.351,4902,11278,6.827,45.653,6.720,5.653
