 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,40.858,8059.700,725.243,5750,10462,2.240,1.600,6.720,6.080
2,40.858,8097.687,750.254,5581,11326,2.453,9.707,6.720,6.080
3,40.858,7965.803,747.878,5595,10713,2.453,17.920,6.720,6.080
4,40.858,7900.994,739.334,5119,11225,2.560,26.027,6.720,6.080
5,40.858,7899.079,714.811,5491,10439,12.693,25.920,6.720,6.080
6,40.858,7904.197,750.681,5320,10942,22.933,26.240,6.720,6.080
7,40.858,7853.325,724.016,5495,10881,23.787,35.093,6.720,6.080
8,40.858,7853.981,722.126,5794,10378,25.600,44.267,6.720,6.080
9,40.858,7837.093,741.221,5249,10861,34.880,43.840,6.720,6.080
10,40.858,7874.817,717.511,5805,10533,43.307,43.840,6.720,6.080
