 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,7.646,3577.247,306.603,2627,4580,1.813,50.453,2.987,2.560
2,7.646,3598.780,306.145,2781,4599,1.813,46.933,2.987,2.560
3,7.646,3660.085,301.560,2716,4563,7.467,46.400,2.987,2.560
4,7.646,3610.637,320.126,2681,4653,7.680,50.667,2.987,2.560
5,7.646,3610.976,292.613,2682,4759,12.587,50.773,2.987,2.560
6,7.646,3634.119,291.416,2813,4625,18.240,50.667,2.987,2.560
7,7.646,3720.345,312.172,2778,4624,21.120,26.667,2.987,2.560
8,7.646,3742.094,314.815,2840,4678,32.427,20.480,2.987,2.560
9,7.646,3755.592,308.879,2893,4949,35.947,14.720,2.987,2.560
10,9.557,3792.330,298.574,2823,4729,43.200,9.280,2.987,3.200
