 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height
1,8.602,3801.995,316.083,3004,5018,1.493,22.720,2.987,2.880
2,8.602,3770.522,313.733,2787,4777,1.600,26.560,2.987,2.880
3,8.602,3813.563,297.969,2994,4802,1.600,30.933,2.987,2.880
4,7.646,3808.207,323.272,2967,4776,6.080,31.040,2.987,2.560
5,7.646,3777.202,319.717,2757,5228,6.080,27.520,2.987,2.560
6,7.646,3772.153,320.640,2868,4861,6.293,23.147,2.987,2.560
7,7.646,3774.387,307.839,2778,4655,10.880,23.147,2.987,2.560
8,7.646,3789.787,306.286,2841,4906,11.093,27.840,2.987,2.560
9,7.646,3822.833,330.526,2900,4974,11.520,32.853,2.987,2.560
10,7.646,3849.549,328.189,2988,4928,16.213,33.067,2.987,2.560
