object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Cells,Probability of Junk,Size in pixels,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Radii of the object_0,Radii of the object_1,Radii of the object_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Total Intensity_0,Total Intensity_1,Total Intensity_2,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2
91,15,3,0,Cells,0.74,0.26,1987.0,0.087997966,-0.99612063,-0.00010679883,0.99612063,0.08799797,-7.117508e-05,-8.0297046e-05,0.00010012125,-1.0,27679.0,17592.0,13102.0,-0.75296897,1.0404651,0.7188257,11065320.0,866834.25,7142486.5,12546.0,8228.0,1610.0,10.770939,5.0411816,0.81688446,21074.584,10544.257,4902.537,41875196.0,20951440.0,9741341.0,11065320.0,-1154581.5,-6847736.5,-1154581.5,866834.25,1483057.2,-6847736.5,1483057.2,7142486.5,140.0,75.0,0.0,162.0,118.0,3.0,150.62305,96.75843,0.99396074
92,16,1,0,Cells,0.75,0.25,292.0,0.18390907,-0.98293173,0.00476045,0.9829295,0.18387876,-0.0061760684,-0.005195308,-0.005815022,-0.9999696,22995.0,13490.0,8843.0,-1.2079442,0.8498247,1.08925,8160087.5,644771.75,3538498.8,12436.0,8541.0,1655.0,3.4133549,2.2754142,0.8187563,19973.582,10328.856,3604.8733,5832286.0,3016026.0,1052623.0,8160087.5,-1275969.2,-4933475.0,-1275969.2,644771.75,886757.06,-4933475.0,886757.06,3538498.8,161.0,130.0,0.0,171.0,144.0,3.0,165.74315,136.36986,0.9794521
93,17,1,0,Cells,0.75,0.25,547.0,-0.12731174,-0.9918628,3.449378e-05,0.99185944,-0.12731121,0.002596311,0.0025707926,-0.00036475383,-0.9999966,30210.0,13859.0,12722.0,-0.58259165,0.6180011,1.1644531,10978053.0,698724.9,4235574.0,14448.0,8769.0,1526.0,5.338476,2.9196675,0.8156283,22097.873,10571.78,3971.6875,12087537.0,5782764.0,2172513.0,10978053.0,-1042859.1,-3557654.5,-1042859.1,698724.9,1180978.9,-3557654.5,1180978.9,4235574.0,0.0,8.0,0.0,12.0,30.0,3.0,4.213894,17.98903,1.0036563
94,17,2,0,Cells,0.9,0.1,649.0,0.1354442,-0.99078447,0.0010092441,0.9907846,0.1354432,-0.0010047631,-0.00085880834,-0.0011360329,-0.999999,26116.0,12404.0,10494.0,-0.7887079,0.36234096,0.82505476,10815866.0,380460.9,5775673.0,13522.0,7767.0,1463.0,5.1581116,3.5679958,0.8157529,20722.463,9832.68,4272.701,13448878.0,6381409.0,2772983.0,10815866.0,-688220.7,-6932762.0,-688220.7,380460.9,570729.6,-6932762.0,570729.6,5775673.0,204.0,136.0,0.0,220.0,157.0,3.0,210.73189,145.93375,0.98767334
95,17,3,0,Junk,0.3,0.7,863.0,0.9400279,-0.34109458,0.0014288175,0.34109235,0.9400284,0.0016053055,0.0018906902,0.0010216732,-0.9999977,24830.0,65535.0,4992.0,-0.020264905,1.992639,0.57426447,6387108.5,78874320.0,577037.56,15234.0,10654.0,1223.0,6.7374196,3.5252013,0.81750655,20194.643,20234.977,2635.1714,17427976.0,17462784.0,2274153.0,6387108.5,-7779265.5,-1374417.0,-7779265.5,78874320.0,1390140.6,-1374417.0,1390140.6,577037.56,152.0,152.0,0.0,177.0,171.0,3.0,163.99304,160.81807,1.0104288
96,17,4,0,Cells,0.84,0.16,511.0,-0.6168719,0.7870622,-0.0014695772,0.78706354,0.6168701,-0.0015009389,-0.000274794,-0.0020825376,-0.9999978,25126.0,13604.0,9428.0,-0.8996134,0.7187835,0.7242878,11254276.0,536585.75,4662767.5,13614.0,8751.0,1509.0,4.084127,3.3407066,0.8156592,20895.744,10234.232,4062.8982,10677725.0,5229693.0,2076141.0,11254276.0,-1226723.6,-5965928.5,-1226723.6,536585.75,877396.94,-5965928.5,877396.94,4662767.5,197.0,160.0,0.0,212.0,176.0,3.0,203.79843,167.17026,0.9960861
97,17,5,0,Cells,0.89,0.11,396.0,-0.0045825294,-0.9999895,0.0,-0.9999895,0.0045825294,0.0,0.0,0.0,1.0,24030.0,12114.0,10122.0,-1.268384,0.39682114,1.1674105,8119523.5,386527.22,5222922.5,13023.0,8119.0,1458.0,4.0176263,2.6193242,0.8164966,20269.713,9793.336,3765.2576,8026806.0,3878161.0,1491042.0,8119523.5,-871190.9,-5921720.5,-871190.9,386527.22,749019.56,-5921720.5,749019.56,5222922.5,97.0,163.0,0.0,107.0,179.0,3.0,101.65909,170.94698,1.0
98,17,6,0,Junk,0.46,0.54,166.0,-0.96896696,0.24691655,0.011628016,0.24652518,0.9687386,-0.027763728,0.018119833,0.024035538,0.9995469,23940.0,16341.0,5502.0,0.018929787,0.88755417,0.3403886,7332931.0,1680139.0,954620.9,13588.0,8859.0,1653.0,2.3320434,1.9269648,0.8077002,19160.945,11489.578,3334.4277,3180717.0,1907270.0,553515.0,7332931.0,-360519.72,-2338588.2,-360519.72,1680139.0,224444.92,-2338588.2,224444.92,954620.9,168.0,168.0,0.0,177.0,176.0,3.0,171.81325,171.4759,0.9698795
99,17,7,0,Cells,0.92,0.08,314.0,-0.7385232,-0.67422265,0.0026943563,-0.6742263,0.7385062,-0.0052413987,0.0015440709,-0.0056875004,-0.99998266,23994.0,11928.0,9080.0,-1.0049057,0.536157,0.89074504,9673020.0,433088.3,4487934.0,12997.0,8376.0,1537.0,3.701988,2.2659392,0.8194788,20181.182,9884.672,4000.7388,6336891.0,3103787.0,1256232.0,9673020.0,-872895.75,-6055350.0,-872895.75,433088.3,662136.9,-6055350.0,662136.9,4487934.0,148.0,192.0,0.0,161.0,204.0,3.0,153.5414,197.7707,0.98407644
100,18,1,0,Cells,0.91,0.09,600.0,0.61021286,-0.7922368,-0.0010570629,0.7922362,0.61021376,-0.0009993422,-0.0014367499,0.00022763204,-0.9999989,25252.0,12438.0,11142.0,-1.0108308,0.31246006,0.9927159,10513737.0,479445.72,6035183.0,13071.0,8502.0,1620.0,5.046083,3.266355,0.8174425,20315.244,10139.547,4249.072,12189146.0,6083728.0,2549443.0,10513737.0,-874671.06,-6897460.0,-874671.06,479445.72,880128.3,-6897460.0,880128.3,6035183.0,156.0,123.0,0.0,173.0,141.0,3.0,163.175,132.18,0.9916667
101,18,2,0,Cells,0.58,0.42,1396.0,0.0015317963,-0.9999988,-0.00013840692,0.9999988,0.001531812,-0.00011355909,-0.00011377096,0.0001382328,-1.0,32467.0,14494.0,15011.0,-0.23020975,0.3988778,0.41775048,16713088.0,1018832.5,10873070.0,12810.0,8864.0,1618.0,9.553477,3.9899893,0.8162019,21186.656,11207.275,5898.854,29576572.0,15645357.0,8234800.0,16713088.0,-1757546.2,-9314186.0,-1757546.2,1018832.5,2395822.2,-9314186.0,2395822.2,10873070.0,0.0,182.0,0.0,15.0,217.0,3.0,6.517192,199.30731,0.99856734
102,18,3,0,Cells,0.91,0.09,368.0,-0.9661461,-0.25799185,-0.0013850152,0.25799093,-0.966147,0.0008100579,0.0015471166,-0.00042531293,-0.9999987,24173.0,12221.0,9755.0,-1.2703364,0.26887888,1.1438972,9784112.0,468772.88,5120063.5,12742.0,8279.0,1440.0,3.6032455,2.7118301,0.8159184,20357.916,10003.473,3845.1821,7491713.0,3681278.0,1415027.0,9784112.0,-904937.0,-6466545.5,-904937.0,468772.88,763643.75,-6466545.5,763643.75,5120063.5,125.0,190.0,0.0,139.0,201.0,3.0,131.49457,194.82065,0.9972826
103,18,4,0,Cells,0.92,0.08,236.0,0.75491667,-0.655816,0.0024942604,0.65579206,0.75491375,0.006480779,0.0061331503,0.0032567317,-0.99997586,25110.0,11757.0,9482.0,-0.74897826,0.42062163,0.8558881,11662749.0,425035.4,4702910.0,12772.0,8314.0,1683.0,2.943633,2.1660652,0.81971407,19891.652,10078.585,4197.5806,4694430.0,2378546.0,990629.0,11662749.0,-957625.6,-6854253.5,-957625.6,425035.4,616508.1,-6854253.5,616508.1,4702910.0,111.0,215.0,0.0,122.0,226.0,3.0,116.30085,219.54662,0.9618644
104,19,1,0,Cells,0.85,0.15,1494.0,-0.6468544,-0.7626135,0.00018978132,0.7626135,-0.64685446,-5.3152016e-05,-0.00016329534,-0.00011034818,-1.0,29057.0,13508.0,11255.0,-0.48662663,0.4830821,0.5105321,12778519.0,666344.0,6425049.5,13213.0,8300.0,1384.0,7.9444966,5.091519,0.8168983,21371.857,10404.229,4819.4243,31929554.0,15543918.0,7200220.0,12778519.0,-917367.94,-6506124.0,-917367.94,666344.0,1211121.8,-6506124.0,1211121.8,6425049.5,10.0,12.0,0.0,36.0,39.0,3.0,22.006023,24.414993,0.99665326
105,19,2,0,Cells,0.92,0.08,747.0,-0.73542076,-0.67761075,0.00012427832,-0.67761075,0.7354207,-0.00024543804,7.491459e-05,-0.00026471255,-0.99999994,24921.0,13803.0,9556.0,-0.79059047,0.45801207,0.764591,10896810.0,592975.75,3654342.5,13146.0,8564.0,1482.0,5.9249587,3.4804447,0.81642574,20832.947,10627.397,4153.917,15562211.0,7938666.0,3102976.0,10896810.0,-753643.7,-5431175.5,-753643.7,592975.75,390969.28,-5431175.5,390969.28,3654342.5,2.0,114.0,0.0,24.0,133.0,3.0,13.389558,122.753685,0.9892905
106,19,3,0,Cells,0.84,0.16,645.0,-0.51745784,-0.85570323,-0.0030574414,-0.85570866,0.51745504,0.0017125412,0.00011666139,0.003502447,-0.99999386,25393.0,15660.0,10270.0,-0.53574276,1.1582744,0.8045999,10110969.0,700761.25,4677734.5,14464.0,8505.0,1627.0,5.2154737,3.4228084,0.8154264,20437.553,10481.11,4197.7563,13182222.0,6760316.0,2707553.0,10110969.0,-981261.0,-5845783.0,-981261.0,700761.25,880169.0,-5845783.0,880169.0,4677734.5,20.0,115.0,0.0,36.0,135.0,3.0,27.92093,123.64186,0.99224806
107,19,4,0,Cells,0.9,0.1,190.0,-0.03777203,-0.9992705,-0.0056292247,0.9992807,-0.037790228,0.003162005,0.003372428,0.00550574,-0.99997914,26594.0,11977.0,10103.0,-0.57766163,-0.07830259,0.5536963,13998440.0,385542.5,4661370.0,14578.0,8229.0,2220.0,3.4343073,1.5310197,0.8174448,21380.252,10387.979,5072.805,4062248.0,1973716.0,963833.0,13998440.0,-910595.56,-7114613.5,-910595.56,385542.5,591848.25,-7114613.5,591848.25,4661370.0,0.0,119.0,0.0,6.0,133.0,3.0,2.0210526,124.94211,1.0052632
108,19,5,0,Cells,0.85,0.15,277.0,0.5156917,-0.8567291,0.008794391,0.8567618,0.5157123,8.874994e-05,0.00461141,-0.00748893,-0.9999613,24655.0,11658.0,9668.0,-1.114721,0.27638263,1.0525376,9070782.0,318954.0,4450469.0,13228.0,8652.0,1682.0,3.7761955,1.9727359,0.81460494,20426.242,10141.455,3880.5776,5658069.0,2809183.0,1074920.0,9070782.0,-553758.75,-5930518.5,-553758.75,318954.0,427622.0,-5930518.5,427622.0,4450469.0,19.0,131.0,0.0,30.0,145.0,3.0,24.173285,137.60649,0.9855596
