object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Diameter,Number of Holes,Center of the Skeleton_0,Center of the Skeleton_1,Number of Branches,Euclidean Diameter,Length of the Skeleton,Average Branch Length,Total Intensity_0,Total Intensity_1,Total Intensity_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Center of the object_0,Center of the object_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Radii of the object_0,Radii of the object_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Covariance of Channel Intensity_4,Covariance of Channel Intensity_5,Covariance of Channel Intensity_6,Covariance of Channel Intensity_7,Covariance of Channel Intensity_8,Skewness of Intensity_0,Skewness of Intensity_1,Skewness of Intensity_2,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Size in pixels,Kurtosis of Intensity_0,Kurtosis of Intensity_1,Kurtosis of Intensity_2,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Skewness of Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Covariance of Channel Intensity in neighborhood_4,Covariance of Channel Intensity in neighborhood_5,Covariance of Channel Intensity in neighborhood_6,Covariance of Channel Intensity in neighborhood_7,Covariance of Channel Intensity in neighborhood_8,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_2,Mean Defect Displacement,Mean Defect Area,Convexity,Defect Center_0,Defect Center_1,Kurtosis of Defect Area,Number of Defects,Object Area,Convex Hull Center_0,Convex Hull Center_1,Variance of Defect Area,Convex Hull Area,Skewness of Defect Area,Object Center_0,Object Center_1
48,1,20,0,Label 1,1.0,0.0,11.414213,0.0,311.0,280.0,6.0,11.045361,21.899494,3.649916,403980.0,767724.0,197943.0,306.0,278.0,311.54544,279.93182,318.0,283.0,7542.0,14497.0,3754.0,-0.5370818,0.8435112,0.005652978,0.8274409,0.5255232,0.19790636,0.16396546,0.11096941,-0.98020464,885896.4,1349429.6,220643.58,11058.0,19655.0,5648.0,9181.363,17448.273,4498.7046,2.9320626,1.2007283,885896.4,-536316.8,-104178.14,-536316.8,1349429.6,234239.86,-104178.14,234239.86,220643.58,0.42073148,-0.25815216,0.7849807,0.9978401,0.06568938,0.06568938,-0.9978401,44.0,-0.740243,-0.21446878,-0.04443765,48582480.0,37868428.0,13966160.0,5616.0,4292.0,2714.0,5328790.5,42761004.0,211395.56,19766.0,37678.0,6785.0,13685.205,10667.163,3934.1296,-1.0172974,1.7503287,1.1309769,5328790.5,-9340091.0,-542652.44,-9340091.0,42761004.0,1885033.6,-542652.44,1885033.6,211395.56,1.0845718,2.9897134,2.8288922,4.8088374,4.0,0.73333335,311.375,280.1875,1.5,4.0,44.0,311.5,280.0,2.0,60.0,1.4142135,311.54544,279.93182
49,1,21,0,Label 1,1.0,0.0,30.556349,0.0,364.0,289.0,2.0,15.0,30.556349,15.278174,1271968.0,2060533.0,511150.0,351.0,278.0,360.9565,286.93042,369.0,293.0,8530.0,14371.0,3517.0,-0.7283169,0.685224,0.004750126,0.68497115,0.7278189,0.033076983,-0.01920791,-0.027344225,0.9994415,2363749.2,2283598.8,148038.23,15341.0,21438.0,5498.0,11060.591,17917.678,4444.7827,5.4330783,2.997995,2363749.2,-639531.06,10624.381,-639531.06,2283598.8,-67710.31,10624.381,-67710.31,148038.23,0.8509226,0.024626834,0.22919738,0.82659394,-0.5627988,-0.5627988,-0.82659394,115.0,0.14361022,-0.4203511,0.20909142,59864600.0,55115690.0,17409116.0,5616.0,4322.0,2821.0,7595370.5,60620976.0,242472.19,20196.0,37678.0,7294.0,13892.922,12790.83,4040.1755,-0.74369425,1.0332811,1.0483575,7595370.5,-13293140.0,-699152.1,-13293140.0,60620976.0,2575393.0,-699152.1,2575393.0,242472.19,0.16253291,0.18105206,2.434073,6.4472275,31.0,0.42592594,358.41934,283.56775,4.5885906,5.0,115.0,359.5,285.0,2528.0,270.0,2.120378,360.9565,286.93042
50,1,22,0,Label 1,1.0,0.0,20.556349,0.0,329.0,291.0,10.0,19.209373,37.455845,3.7455845,962783.0,1959468.0,423905.0,322.0,283.0,328.6354,290.0625,338.0,298.0,7407.0,14875.0,3571.0,-0.32665843,-0.9451231,0.0060482095,0.9445019,-0.3261948,0.038898777,0.03479124,-0.018419158,-0.99922484,3318911.0,11712885.0,148624.84,14727.0,27636.0,5401.0,10028.989,20411.125,4415.6772,5.2296247,1.508183,3318911.0,-3299173.8,-109146.42,-3299173.8,11712885.0,430842.2,-109146.42,430842.2,148624.84,0.79919,0.41509882,0.24219288,0.7159543,0.6981471,0.6981471,-0.7159543,96.0,-0.3906478,-0.8629454,-0.13842118,57059600.0,47268624.0,16239786.0,5616.0,4509.0,2853.0,6076025.0,45299348.0,220415.67,20196.0,37678.0,6785.0,13947.592,11554.296,3969.6372,-0.7471707,1.3505342,1.0394888,6076025.0,-8763875.0,-540402.94,-8763875.0,45299348.0,1982703.5,-540402.94,1982703.5,220415.67,0.6674205,1.5468278,2.3504577,5.589624,48.0,0.4,330.0764,289.95834,0.0,3.0,96.0,329.5,290.0,1596.0,240.0,-1.0558319,328.6354,290.0625
51,1,23,0,Label 1,1.0,0.0,12.828427,0.0,300.0,292.0,7.0,12.165525,24.31371,3.473387,428188.0,817397.0,235334.0,298.0,286.0,300.06122,292.4898,303.0,299.0,7179.0,14371.0,3735.0,-0.6946851,-0.71915686,0.015032871,0.6498586,-0.6364304,-0.41549987,0.30837694,-0.27887234,0.909469,995037.6,899557.06,442749.66,11894.0,18826.0,6364.0,8738.53,16681.572,4802.735,3.3263009,1.1859003,995037.6,-431417.84,-208358.11,-431417.84,899557.06,274746.8,-208358.11,274746.8,442749.66,1.1505955,0.076393664,0.45777157,0.11170158,-0.9937418,0.9937418,0.11170158,49.0,1.6769127,-0.42679262,-0.7557121,50199980.0,29228376.0,13820413.0,7143.0,4345.0,2695.0,2632646.8,13250967.0,133685.78,19766.0,25039.0,5648.0,13852.092,8065.2256,3813.5798,-0.9999235,1.4829031,0.5650398,2632646.8,-2212044.0,-153453.6,-2212044.0,13250967.0,593404.1,-153453.6,593404.1,133685.78,2.9543831,1.6107329,1.1163212,5.029552,5.3333335,0.75384617,299.8125,290.5,0.0,3.0,49.0,300.0,292.0,2.3333333,65.0,0.9352195,300.06122,292.4898
52,1,24,0,Label 1,1.0,0.0,24.142136,0.0,26.0,303.0,15.0,18.110771,55.35534,3.690356,1105558.0,2228661.0,503380.0,19.0,293.0,24.4375,302.1518,30.0,312.0,6871.0,13608.0,3677.0,0.20298608,-0.97705597,-0.06448521,-0.9791794,-0.20268562,-0.011236505,-0.002091532,0.065423444,-0.9978554,3074112.0,18919506.0,123938.78,14427.0,32213.0,5298.0,9871.054,19898.76,4494.4644,5.284961,2.3749635,3074112.0,-3431949.8,-152635.56,-3431949.8,18919506.0,10025.442,-152635.56,10025.442,123938.78,0.7398151,1.0699522,0.033664867,-0.09351435,-0.9956179,0.9956179,-0.09351435,112.0,-0.21468313,0.6350161,-0.51254666,54047068.0,33502984.0,14486500.0,6120.0,4263.0,2688.0,4570837.0,36834910.0,148706.52,22037.0,33100.0,5629.0,14336.093,8886.733,3842.573,-0.48253617,2.079494,0.58795893,4570837.0,-5514037.5,-240044.38,-5514037.5,36834910.0,1311990.8,-240044.38,1311990.8,148706.52,2.2528808,3.4454303,0.77892876,5.6580973,32.333332,0.53588516,23.494844,301.82474,0.0,3.0,112.0,24.0,302.0,386.33334,209.0,1.7118977,24.4375,302.1518
53,1,25,0,Label 1,1.0,0.0,31.970562,1.0,382.0,303.0,2.0,26.24881,51.455845,15.692389,1819039.0,4654605.0,898613.0,369.0,293.0,380.60962,299.91443,393.0,311.0,6188.0,16452.0,3816.0,-0.3993093,-0.91670007,0.0145976655,0.9160117,-0.3995752,-0.03552838,0.03840173,-0.00081518036,0.99926203,5257662.5,22259004.0,334643.88,15217.0,37041.0,7294.0,9727.481,24890.936,4805.417,6.889092,3.4347944,5257662.5,-9150052.0,-397804.16,-9150052.0,22259004.0,914543.0,-397804.16,914543.0,334643.88,0.45513672,0.40739694,1.1712996,0.8404319,-0.5419171,-0.5419171,-0.8404319,187.0,-0.8924693,-0.54501987,2.3034182,67012130.0,44900304.0,18519280.0,6616.0,4180.0,2789.0,3725659.0,36650380.0,167060.22,20196.0,36826.0,6354.0,14063.406,9422.938,3886.5225,-0.5845744,1.748431,0.7439295,3725659.0,-4326371.5,-219763.73,-4326371.5,36650380.0,1444123.6,-219763.73,1444123.6,167060.22,1.8959742,2.592874,1.3413116,7.5990095,61.25,0.43287036,380.41632,302.7102,-1.1996657,4.0,187.0,380.5,301.5,2758.25,432.0,0.37779236,380.60962,299.91443
54,1,26,0,Label 1,1.0,0.0,19.071068,0.0,14.0,306.0,2.0,7.615773,19.071068,9.535534,787890.0,1854687.0,319486.0,8.0,298.0,13.222222,304.34723,19.0,310.0,7766.0,16271.0,3500.0,-0.41740948,0.90789616,-0.038650412,0.9080455,0.41835958,0.020705607,0.034968313,-0.026453614,-0.9990382,5991696.5,19698992.0,149975.8,18734.0,31943.0,5261.0,10942.917,25759.541,4437.3057,3.3821194,2.3839018,5991696.5,-7985959.0,-392676.4,-7985959.0,19698992.0,714743.56,-392676.4,714743.56,149975.8,1.0901294,-0.38699773,-0.2534722,0.78484213,-0.6196958,-0.6196958,-0.78484213,72.0,0.5114224,-0.84620774,-0.3446485,40978850.0,28476824.0,11041280.0,6120.0,4263.0,2688.0,6288253.0,41552772.0,165041.98,22037.0,33100.0,5629.0,14449.524,10041.193,3893.258,-0.6961582,1.5693966,0.5933139,6288253.0,-8570344.0,-406989.34,-8570344.0,41552772.0,1561188.2,-406989.34,1561188.2,165041.98,1.2197745,1.4928559,0.57752424,4.7941103,15.0,0.54545456,12.733334,302.48334,2.84289,4.0,72.0,13.0,303.5,272.66666,132.0,1.641776,13.222222,304.34723
55,1,27,0,Label 1,1.0,0.0,34.384777,0.0,359.0,309.0,2.0,22.0,34.384777,17.192389,892089.0,1653609.0,367718.0,357.0,298.0,362.18823,309.8,369.0,322.0,7199.0,13762.0,3557.0,-0.25733954,0.9592183,0.116946734,0.96340317,0.2640745,-0.046032697,0.07503806,-0.10082082,0.9920708,2919264.0,7196867.0,200543.42,15359.0,27116.0,6354.0,10495.165,19454.223,4326.094,7.2693505,3.2009084,2919264.0,-1208689.1,-384485.5,-1208689.1,7196867.0,470231.22,-384485.5,470231.22,200543.42,0.61447984,0.6503006,1.5714818,0.17278202,-0.9849601,0.9849601,0.17278202,85.0,-0.12043259,0.6744311,4.35033,63856964.0,52207892.0,18315522.0,5616.0,4253.0,2838.0,5746727.5,58637104.0,240684.61,20196.0,37678.0,7294.0,13830.835,11307.752,3966.9746,-0.8366747,1.3720149,1.1545347,5746727.5,-10639104.0,-551426.9,-10639104.0,58637104.0,2606382.0,-551426.9,2606382.0,240684.61,1.1053662,0.95752513,2.729775,5.505287,50.75,0.2951389,362.63055,309.3744,1.5951983,4.0,85.0,362.5,309.5,2426.25,288.0,0.98350763,362.18823,309.8
56,1,28,0,Label 1,1.0,0.0,36.55635,0.0,14.0,317.0,3.0,29.274563,51.79899,17.26633,1778679.0,3950670.0,764449.0,0.0,309.0,12.405714,316.21143,31.0,322.0,6120.0,14807.0,3353.0,-0.4678784,0.8826883,-0.044172704,0.88312656,0.46888176,0.015407558,0.034311846,-0.031801224,-0.99890506,6277634.5,17453238.0,133572.78,17004.0,32357.0,5166.0,10163.88,22575.258,4368.28,8.186777,2.984043,6277634.5,-8227656.0,-399816.84,-8227656.0,17453238.0,631405.3,-399816.84,631405.3,133572.78,0.6715691,0.29013968,-0.099933885,0.99995637,-0.009342004,-0.009342004,-0.99995637,175.0,-0.33868518,-0.74186975,-0.29868016,48548990.0,29910024.0,12924693.0,6871.0,4358.0,2688.0,4589260.5,34046056.0,151333.89,22037.0,33100.0,5629.0,14462.017,8909.748,3850.0723,-0.3914084,2.1175168,0.62191623,4589260.5,-4748347.0,-243626.58,-4748347.0,34046056.0,1259672.4,-243626.58,1259672.4,151333.89,1.8643762,3.8484483,0.87580806,8.954365,57.0,0.43424317,16.991228,314.0702,0.9237374,4.0,175.0,15.0,315.0,2635.3333,403.0,0.5971343,12.405714,316.21143
57,1,29,0,Label 1,1.0,0.0,17.899494,0.0,133.0,346.0,11.0,15.297058,35.62742,3.238856,592853.0,1241726.0,312065.0,129.0,338.0,132.86957,345.6377,138.0,354.0,7231.0,15424.0,3513.0,-0.47059423,-0.47026655,0.74658585,0.88197696,-0.22611372,0.41350842,-0.025645865,0.8530662,0.5211721,630836.94,1323611.8,529223.44,10392.0,20626.0,7016.0,8592.072,17996.03,4522.681,4.7416472,1.2064197,630836.94,-524848.1,-141842.02,-524848.1,1323611.8,-107014.73,-141842.02,-107014.73,529223.44,0.43680832,-0.09942573,1.7577751,0.40450075,-0.91453767,0.91453767,0.40450075,69.0,-0.7610482,-0.7415794,3.1442966,54044452.0,29672624.0,14755779.0,7123.0,4252.0,2585.0,2102609.8,14208107.0,121488.97,17043.0,24442.0,5324.0,13832.724,7594.7334,3776.7544,-1.8209863,2.0646188,0.42343155,2102609.8,-3228188.0,-161795.9,-3228188.0,14208107.0,540026.25,-161795.9,540026.25,121488.97,4.6125016,3.9537268,0.69578886,4.599206,25.0,0.47916666,133.12,345.37332,0.0,3.0,69.0,133.0,345.5,441.0,144.0,-1.574344,132.86957,345.6377
